music_id,name,total_playing_time,listen_start_time,detail,sheet_id,cue_id
1,"Lost Princess",01:33,00:58,"Character Song\n\n時間 / 01:33\n歌　 Pecorine/ （Ｍ・Ａ・Ｏ）\n　　　Kokkoro（伊藤美来）\n　　　Kyaru（立花理香）\n作詞 / shihori\n作曲 / 田中公平\n編曲 / 根岸貴幸",bgm_M152,bgm_M152
2,"Connecting Happy!!",01:56,01:01,"Character Song\n\n時間 / 01:56\n歌　 / Pecorine（Ｍ・Ａ・Ｏ）\n　　　Kokkoro（伊藤美来）\n　　　Kyaru（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介\n編曲 / 奈良悠樹",bgm_M153,bgm_M153
3,"旅の始まり",01:48,00:00,"Main Quest Music\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼",bgm_M61,bgm_M61_juke
4,"森を駆ける風",01:35,00:00,"Main Quest Music\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ",bgm_M62,bgm_M62_juke
5,"メサルティム",01:18,00:00,"Clan Battle Music\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智",bgm_M90,bgm_M90_juke
6,"ハツネのプレゼント大作戦",01:02,00:00,"Story Event Theme Song\n-｢Smiley Contrast｣Arrange-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶",bgm_M32,bgm_M32_juke
7,"ジズ",02:34,00:00,"Story Event Boss Battle Music\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文",bgm_M47,bgm_M47_juke
8,"Smiley Contrast",01:40,00:57,"Character Song\n\n時間 / 01:40\n歌　 / Hatsune（大橋彩香）\n　　　Shiori（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル",bgm_M149,bgm_M149
9,"ミノタウロス",00:59,00:00,"Clan Battle Music\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M97,bgm_M97_juke
10,"リトル・リリカル・アドベンチャーズ",01:00,00:00,"Story Event Theme Song\n-｢リトルアドベンチャー｣Arrange-\n\n時間 / 01:00\n作曲 / 池田健人\n編曲 / 西村真吾",bgm_M98,bgm_M98_juke
11,"アルマ",02:31,00:00,"Story Event Boss Battle Music\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智",bgm_M102,bgm_M102_juke
12,"リトルアドベンチャー",01:22,00:45,"Character Song\n\n時間 / 01:22\n歌　 / Kyouka（小倉唯）\n　　　Misogi（諸星すみれ）\n　　　Mimi（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健人\n編曲 / 池田健人",bgm_M145,bgm_M145
13,"グラットン",01:07,00:00,"Clan Battle Music\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介",bgm_M139,bgm_M139_juke
14,"トリックオアプリン！約束のハロウィンパーティー",01:01,00:00,"Story Event Theme Song\n-｢もっと！ふたりのパ～ティ～ナイト｣Arrange-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾",bgm_M135,bgm_M135_juke
15,"ジャック・オー・プリン",02:26,00:00,"Story Event Boss Battle Music\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M138,bgm_M138_juke
16,"もっと！ふたりのパ～ティ～ナイト",01:21,00:46,"Character Song\n\n時間 / 01:21\n歌　 / Shinobu（大坪由佳）\n　　　Miyako（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT",bgm_M161,bgm_M161
17,"耀う氷の結晶",01:31,00:00,"Main Quest Music\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M140,bgm_M140_juke
