id,odds_file,name,icon_type,description
1,box_rank_1-3,"随机装备箱",99002,"能获取随机装备。"
2,eq_rank_3-6,"RANK3~6的装备道具",99002,"角色RANK1~4所需装备道具"
3,eq_rank_4-7,"RANK4~7的装备道具",99002,"角色RANK4~7所需装备道具"
4,1000120101,"初音的记忆碎片",99002,""
5,1000120102,"栞的记忆碎片",99002,""
6,1000220101,"未奏希的记忆碎片",99002,""
7,1000220102,"美美的记忆碎片",99002,""
8,1000320101,"真步的记忆碎片",99002,""
9,1000320102,"香织的记忆碎片",99002,""
10,1000420101,"可可萝（夏日）的记忆碎片",99002,""
11,1000420102,"咲恋的记忆碎片",99002,""
12,eq_rank_5-8,"RANK5～8的装备物品",99002,"角色的RANK5~8所需装备物品"
13,1000520101,"美冬（夏日）的记忆碎片",99002,""
14,1000520102,"秋乃的记忆碎片",99002,""
15,1000620101,"纯的记忆碎片",99002,""
16,1000620102,"由加莉的记忆碎片",99002,""
17,1000720101,"宫子（万圣节）的记忆碎片",99002,""
18,1000720102,"依里的记忆碎片",99002,""
19,1000820101,"杏奈的记忆碎片",99002,""
20,1000820102,"深月的记忆碎片",99002,""
21,1000920101,"胡桃（圣诞节）的记忆碎片",99002,""
22,1000920102,"望的记忆碎片",99002,""
23,1001020101,"怜（新年）的记忆碎片",99002,""
24,1001020102,"优衣的记忆碎片",99002,""
25,1001120101,"惠理子（情人节）的记忆碎片",99002,""
26,1001120102,"璃乃的记忆碎片",99002,""
27,1001220101,"真琴的记忆碎片",99002,""
28,1001220102,"雪的记忆碎片",99002,""
29,1001320101,"露的记忆碎片",99002,""
30,1001320102,"伊绪的记忆碎片",99002,""
31,1001420101,"初音的记忆碎片",99002,""
32,1001420102,"栞的记忆碎片",99002,""
33,1001520101,"真琴的记忆碎片",99002,""
34,1001520102,"雪的记忆碎片",99002,""
35,1001620101,"未奏希的记忆碎片",99002,""
36,1001620102,"美美的记忆碎片",99002,""
37,box_rank_2-4,"随机装备箱",99002,"能获得随机装备。"
38,box_rank_2-5,"随机装备箱",99002,"能获得随机装备。"
39,box_rank_3-6,"随机装备箱",99002,"能获得随机装备。"
40,box_rank_4-5,"随机装备箱",99002,"能获得随机装备。"
41,box_rank_6-7,"随机装备箱",99002,"能获取随机装备。"
42,box_rank_7-8,"随机装备箱",99002,"能获取随机装备。"
43,box_rank_8-10,"随机装备箱",99002,"能获取随机装备。"
44,box_rank_8-11,"随机装备箱",99002,"能获取随机装备。"
45,box_rank_9-12,"随机装备箱",99002,"能获取随机装备。"
