stationary_mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,start_time,end_time
21001001,20,201,"通关主线关卡1-1 (普通)吧",1001,11001001,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001002,20,201,"通关主线关卡1-2 (普通)吧",1001,11001002,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001003,20,201,"通关主线关卡1-3 (普通)吧",1001,11001003,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001004,20,201,"通关主线关卡1-4 (普通)吧",1001,11001004,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001005,20,201,"通关主线关卡1-5 (普通)吧",1001,11001005,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001006,20,201,"通关主线关卡1-6 (普通)吧",1001,11001006,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001007,20,201,"通关主线关卡1-7 (普通)吧",1001,11001007,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001008,20,201,"通关主线关卡1-8 (普通)吧",1001,11001008,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001009,20,201,"通关主线关卡1-9 (普通)吧",1001,11001009,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001010,20,201,"通关主线关卡1-10 (普通)吧",1001,11001010,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001011,20,201,"通关主线关卡2-1 (普通)吧",1001,11002001,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001012,20,201,"通关主线关卡2-2 (普通)吧",1001,11002002,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001013,20,201,"通关主线关卡2-3 (普通)吧",1001,11002003,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001014,20,201,"通关主线关卡2-4 (普通)吧",1001,11002004,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001015,20,201,"通关主线关卡2-5 (普通)吧",1001,11002005,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001016,20,201,"通关主线关卡2-6 (普通)吧",1001,11002006,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001017,20,201,"通关主线关卡2-7 (普通)吧",1001,11002007,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001018,20,201,"通关主线关卡2-8 (普通)吧",1001,11002008,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001019,20,201,"通关主线关卡2-9 (普通)吧",1001,11002009,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001020,20,201,"通关主线关卡2-10 (普通)吧",1001,11002010,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001021,20,201,"通关主线关卡2-11 (普通)吧",1001,11002011,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001022,20,201,"通关主线关卡2-12 (普通)吧",1001,11002012,0,0,1,21001001,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001023,20,201,"通关主线关卡3-1 (普通)吧",1001,11003001,0,0,1,21001002,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001024,20,201,"通关主线关卡3-2 (普通)吧",1001,11003002,0,0,1,21001002,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001025,20,201,"通关主线关卡3-3 (普通)吧",1001,11003003,0,0,1,21001002,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001026,20,201,"通关主线关卡3-4 (普通)吧",1001,11003004,0,0,1,21001002,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001027,20,201,"通关主线关卡3-5 (普通)吧",1001,11003005,0,0,1,21001002,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001028,20,201,"通关主线关卡3-6 (普通)吧",1001,11003006,0,0,1,21001002,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001029,20,201,"通关主线关卡3-7 (普通)吧",1001,11003007,0,0,1,21001002,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001030,20,201,"通关主线关卡3-8 (普通)吧",1001,11003008,0,0,1,21001002,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21001031,20,201,"通关主线关卡3-9 (普通)吧",1001,11003009,0,0,1,21001002,101,"2020/01/01 0:00:00","2099/12/31 23:59:59"
