gacha_id,event_id,gacha_name,item_type,item_id,cost,repeat_step
10001,10001,"初音盒子扭蛋",2,60002,1,5
10002,10002,"小小甜心冒险家讨伐证交换",2,60012,1,5
10004,10004,"危险假日！海边的美食家公主",2,60032,1,5
10005,10005,"珠希与美冬的无人岛0金币生活",2,60042,1,5
10006,10006,"黑铁的亡灵",2,60052,1,5
10007,10007,"不给布丁就捣蛋！约定的万圣节派对",2,60062,1,5
10008,10008,"暮光破坏者",2,60072,1,5
10009,10009,"忘却的圣歌",2,60082,1,5
10010,10010,"新春破晓之星大危机",2,60092,1,5
10011,10011,"情人节之战！正中红心的甜蜜战斗",2,60102,1,5
10012,10012,"王都的名侦探　叹息的追踪者（STALKER）",2,60112,1,5
10013,10013,"盛开在阿斯特朗的双轮之花",2,60122,1,5
10014,10014,"复刻初音的礼物大作战",2,60132,1,5
10015,10015,"将军道中记　白翼的武士",2,60142,1,5
10016,10016,"复刻小小甜心冒险家",2,60152,1,5
10017,10017,"Re: 从零开始收集的异世界餐桌",2,60162,1,5
10018,10018,"复刻吸血鬼猎人with伊莉亚",2,60172,1,5
10019,10019,"铃奈的RAINBOW STAGE！",2,60182,1,5
10020,10020,"复刻危险假日！海边的美食家公主",2,60192,1,5
10021,10021,"盛夏的真步真步王国 海滩上的灵魂之夏！",2,60202,1,5
10022,10022,"珠希与美冬的无人岛0金币生活",2,60212,1,5
10023,10023,"森林里的胆小鬼与神圣学院的问题儿童",2,60222,1,5
10024,10024,"黑铁的亡灵（梦魇）",2,60232,1,5
10025,10025,"小小的勇气·万圣节之夜！",2,60242,1,5
10026,10026,"不给布丁就捣蛋！约定的万圣节派对",2,60252,1,5
10027,10027,"龙之探索者",2,60262,1,5
10028,10028,"暮光破坏者",2,60272,1,5
10029,10029,"礼物大恐慌！　兰德索尔的圣诞老人们",2,60282,1,5
10030,10030,"忘却的圣歌",2,60292,1,5
10031,10031,"狂奔！　兰德索尔公会竞速赛",2,60302,1,5
10032,10032,"新春破晓之星大危机",2,60312,1,5
10033,10033,"魔法少女　二人是Misty＆Purely",2,60322,1,5
10034,10034,"情人节之战！　正中红心的甜蜜战斗",2,60332,1,5
10035,10035,"星光公主　Re:M@STER！",2,60342,1,5
10036,10036,"星光公主　Re:M@STER！",2,60342,1,5
10037,10037,"王都的名侦探　叹息的追缉者（STALKER）",2,60362,1,5
10038,10038,"恩赐的财团与神圣学院的问题儿童",2,60372,1,5
10039,10039,"盛开在阿斯特莱亚的双轮之花",2,60382,1,5
10040,10040,"牧场的四农士　贫穷农场奋斗记！",2,60392,1,5
10041,10041,"将军游记　白翼武士",2,60402,1,5
10042,10042,"不可思议之国的璃乃　小小爱丽丝与希望的绘本",2,60412,1,5
10043,10043,"铃奈的RAINBOW STAGE！",2,60422,1,5
10044,10044,"七夕剑客旅情谭　天际川流夏之恋",2,60432,1,5
10045,10045,"盛夏的真步真步王国 海滩上的灵魂之夏！",2,60442,1,5
10046,10046,"美里的夏日应援！　追梦的盛夏棒球队",2,60452,1,5
10047,10047,"森林里的胆小鬼与神圣学院的问题儿童",2,60462,1,5
10048,10048,"Happy·Change·Angels",2,60472,1,5
10049,10049,"小小的勇气·万圣节之夜！",2,60482,1,5
10050,10050,"尖叫！连连！万圣鬼怪狂欢节",2,60492,1,5
10051,10051,"龙之探索者",2,60502,1,5
10052,10052,"魔法提督Lovely★莫妮卡 Let's Go！魔法的四重奏！",2,60512,1,5
10053,10053,"Re:从零开始收集的异世界餐桌",2,60522,1,5
10054,10054,"初次登场·香格里拉　圣夜的爱情游戏",2,60532,1,6
10055,10055,"礼物大恐慌！　兰德索尔的圣诞老人们",2,60542,1,5
10056,10056,"新春美食公主！　孤注一掷的少女们",2,60552,1,6
10057,10057,"狂奔！　兰德索尔公会竞速赛",2,60562,1,5
10058,10058,"情相连。心相系。",2,60572,1,6
10059,10059,"情相连。心相系。",2,60572,1,6
10060,10060,"魔法少女　二人是Misty&Purely",2,60592,1,5
10061,10061,"灰姑娘课程　璀璨的日子有着苹果的滋味",2,60602,1,6
10062,10062,"星光公主　Re:M@STER！",2,60612,1,5
10063,10063,"星光公主　Re:M@STER！",2,60612,1,5
10064,10064,"钢铁圣女与神圣学院的问题儿童",2,60632,1,6
10065,10065,"恩赐的财团与神圣学院的问题儿童",2,60642,1,5
10066,10066,"祈梨SOS！！　时间旅行的龙族们",2,60652,1,6
10067,10067,"牧场里的四农士　贫穷农场奋斗记！",2,60662,1,5
10068,10068,"心电感应！碧与她的玩具朋友",2,60672,1,6
10069,10069,"不可思议之国的璃乃　小小爱丽丝与希望的绘本",2,60682,1,5
10070,10070,"无限夏日计划　两人独占的盛夏乐园",2,60692,1,6
10071,10071,"七夕剑客旅情谭　天际川流夏之恋",2,60702,1,5
10072,10072,"慈乐之音的夏日演唱会　转瞬即逝的时光！",2,60712,1,6
10073,10073,"美里的夏日应援！　追梦的盛夏棒球队 ",2,60722,1,5
10074,10074,"大江户的非法病历　Dr.深月的诊疗室",2,60732,1,6
10075,10075,"快乐变身 双生天使",2,60742,1,5
10076,10076,"万圣节救援队·紧急出动！　捕获毛茸茸大作战",2,60752,1,6
10077,10077,"尖叫！连连！万圣鬼怪狂欢节",2,60762,1,5
10078,10078,"魔法少女外传　黑暗魔法★三人组！",2,60772,1,6
10079,10079,"魔法提督Lovely★莫妮卡 Let's　Go！魔法的四重奏！",2,60782,1,5
10080,10080,"圣诞布丁快乐！　飞舞的少女与饱含真情的点心",2,60792,1,6
10081,10081,"初次登场·香格里拉　圣夜的爱情游戏",2,60802,1,6
10082,10082,"新春美食回忆录　雪菲的跑腿大作战！",2,60812,1,6
10083,10083,"新春美食公主！　孤注一掷的少女们",2,60822,1,6
