tbl,idx,stat
event_gacha_data,,33
hatsune_quiz,hatsune_quiz_0_event_id,"4 4"
goldset_data_2,,70
event_wave_group_data,,4518
hatsune_quest_area,hatsune_quest_area_0_event_id,"76 3"
goldset_data_teamlevel,,200
hatsune_unlock_story_condition,,188
clan_invite_level_group,,31
hatsune_special_battle,hatsune_special_battle_0_event_id,"45 3"
hatsune_special_battle,sqlite_autoindex_hatsune_special_battle_1,"45 3 1"
event_introduction,,34
stamp,,32
dungeon_area_data,,5
fke_reward,,15
event_boss_treasure_box,,114
grand_arena_max_season_rank_reward,,118
dear_setting,,7
arena_max_rank_reward,,79
album_production_list,album_production_list_0_unit_id,"904 9"
still,still_0_story_id,"621 2"
fix_lineup_group_set,fix_lineup_group_set_0_team_level_from_1_team_level_to,"22 3 2"
fix_lineup_group_set,sqlite_autoindex_fix_lineup_group_set_1,"22 4 1 1"
sekai_top_data,,10
room_release_data,,3
pct_system_fruits,,1
pct_system,,1
hatsune_quest_condition,,680
login_bonus_adv,login_bonus_adv_0_login_bonus_id,"10 3"
pct_combo_coefficient,,6
campaign_freegacha_data,,24
actual_unit_background,,102
room_effect_reward_get,sqlite_autoindex_room_effect_reward_get_1,"69 8 1"
voice_group,,93
seasonpass_mission_data,,64
seasonpass_foundation,,1
fke_happening_list,,20
glossary_detail,,81
position_setting,,1
clan_battle_period,clan_battle_period_0_clan_battle_id,"23 1"
clan_battle_period,sqlite_autoindex_clan_battle_period_1,"23 1 1"
room_chat_scenario,room_chat_scenario_0_id,"274 11"
room_chat_scenario,sqlite_autoindex_room_chat_scenario_1,"274 11 1"
login_bonus_detail,login_bonus_detail_0_login_bonus_id_1_count,"152 9 2"
unit_status_coefficient,,1
sekai_schedule,,1
prizegacha_data,,8
clan_battle_last_attack_reward,,3
clan_battle_schedule,,23
unit_background,,113
kaiser_special_battle,,3
hatsune_present,hatsune_present_0_event_id,"4 1"
clan_cost_group,,6
navi_comment,,75
hatsune_diary_data,hatsune_diary_data_0_contents_type,"17 9"
grand_arena_daily_rank_reward,,40
room_effect,,12
room_chat_info,,25
unit_skill_data,,691
srt_reward,,15
event_revival_wave_group_data,,4518
story_quest_data,,14
seasonpass_mission_reward_data,seasonpass_mission_reward_data_0_mission_reward_id,"18 2"
voice_group_chara,,65
dear_story_detail,dear_story_detail_0_story_group_id_1_chara_index,"172 25 10"
clan_battle_s_boss_data,,120
clan_battle_2_map_data,clan_battle_2_map_data_0_clan_battle_id,"79 4"
story_data,,149
hatsune_diary_script,hatsune_diary_script_0_diary_id,"427 31"
gift_message,,84
skill_action,,3507
kaiser_extermination_reward,,4
emblem_data,,410
vote_unit,sqlite_autoindex_vote_unit_1,"55 55 1"
pct_itempoint,pct_itempoint_0_item_id,"3 1"
hatsune_diary_setting,,1
hatsune_quest,hatsune_quest_0_event_id,"660 20"
room_unit_comments,room_unit_comments_0_unit_id,"3547 24"
room_unit_comments,sqlite_autoindex_room_unit_comments_1,"3547 24 8 2 1"
tower_story_detail,,60
srt_score,,3
hatsune_daily_mission_data,,67
login_bonus_message_data,login_bonus_message_data_0_login_bonus_id,"118 40"
rarity_6_quest_data,rarity_6_quest_data_0_rarity_6_quest_id,"8 1"
goldset_data,,70
sekai_add_times_data,,12
clan_battle_s_map_data,clan_battle_s_map_data_0_clan_battle_id,"78 4"
unit_unique_equip,,71
story_detail,,948
content_map_data,,4
odds_name_data,,81
hatsune_special_boss_ticket_count,,1
sekai_boss_mode,,6
gacha_data,,226
room_character_skin_color,,106
room_item_detail,room_item_detail_0_lvup_trigger_type_2_1_lvup_trigger_id_2,"487 487 487"
room_item_detail,room_item_detail_0_lvup_trigger_type_1_lvup_trigger_id,"487 244 244"
room_item_detail,sqlite_autoindex_room_item_detail_1,"487 2 1"
quest_defeat_notice,,6
pct_evaluation,,5
hatsune_multi_route_parameter,hatsune_multi_route_parameter_0_type,"10 4"
hatsune_multi_route_parameter,hatsune_multi_route_parameter_0_quest_id,"10 2"
hatsune_boss_condition,,119
sekai_enemy_parameter,,3
clan_battle_period_rank_reward,,345
event_story_detail,event_story_detail_0_story_group_id,"188 9"
worldmap,,4
training_quest_data,,16
unit_introduction,unit_introduction_0_gacha_id,"62 1"
quest_reward_data,,1499
quest_data,,560
emblem_mission_reward_data,emblem_mission_reward_data_0_reward_id,"498 2"
emblem_mission_reward_data,emblem_mission_reward_data_0_mission_reward_id,"498 2"
tower_quest_fix_reward_group,,413
hatsune_special_mission_data,,107
sekai_unlock_story_condition,,5
dungeon_quest_data,,37
campaign_mission_reward_data,campaign_mission_reward_data_0_campaign_mission_reward_id,"12 2"
emblem_mission_data,,376
pct_gaming_motion,,8
dear_reward,dear_reward_0_event_id_1_chara_index,"90 13 5"
hatsune_unlock_unit_condition,,20
room_chat_formation,,5
campaign_mission_data,campaign_mission_data_0_campaign_id_1_type,"16 16 8"
