id,campaign_id,gacha_id
1,1,30007
2,1,30008
3,2,30012
4,2,40001
5,2,30014
6,3,30802
7,3,30022
8,3,50023
9,4,30026
10,4,50027
11,5,50027
12,5,30028
13,5,30029
14,5,30030
15,6,30044
16,6,40002
17,6,30046
18,6,50047
19,7,30059
20,7,30060
21,7,50061
22,8,30064
23,8,30066
24,8,50067
25,8,30068
26,8,30069
27,9,30075
28,9,30076
29,10,30091
30,10,40003
31,10,30093
32,10,50094
33,11,30102
34,11,30103
35,12,30103
36,12,30104
37,13,30106
38,13,30107
39,13,50108
40,13,30109
41,14,30109
42,14,30110
43,14,30111
44,14,30112
45,15,30114
46,15,40004
47,15,30117
48,15,30118
