story_id,story_group_id,title,sub_title,visible_type,story_end,pre_story_id,love_level,requirement_id,unlock_quest_id,story_quest_id,chara_index,condition_event_quest_id,condition_event_boss_id,reward_type_1,reward_id_1,reward_value_1,reward_type_2,reward_id_2,reward_value_2,reward_type_3,reward_id_3,reward_value_3,start_time,end_time
6017101,6017,"与爱蜜莉雅的信赖度章节","“公会”\n的架构",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017102,6017,"与爱蜜莉雅的信赖度章节","帕克的真面目",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017103,6017,"与爱蜜莉雅的信赖度章节","毛茸茸的关系",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017104,6017,"与爱蜜莉雅的信赖度章节","拉姆与雷姆的区别",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017105,6017,"与爱蜜莉雅的信赖度章节","和拉姆\n变得要好了吗？",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017106,6017,"与爱蜜莉雅的信赖度章节","和雷姆\n变得要好了吗？",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017107,6017,"与爱蜜莉雅的信赖度章节","玛那的重要性",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017108,6017,"与爱蜜莉雅的信赖度章节","兰德索尔\n有很多精灵",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017109,6017,"与爱蜜莉雅的信赖度章节","阿斯特朗的\n精灵术",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017110,6017,"与爱蜜莉雅的信赖度章节","兰德索尔\n与蛋黄酱",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017201,6017,"与雷姆的信赖度章节","兰德索尔的\n美食推荐",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017202,6017,"与雷姆的信赖度章节","你最喜欢的\n地点是？",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017203,6017,"与雷姆的信赖度章节","兰德索尔式\n假日消遣",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017204,6017,"与雷姆的信赖度章节","在异世界也\n可爱十足的姐姐",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017205,6017,"与雷姆的信赖度章节","美食之敌",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017206,6017,"与雷姆的信赖度章节","令人在意的别名",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017207,6017,"与雷姆的信赖度章节","拉姆的优点",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017208,6017,"与雷姆的信赖度章节","雷姆与阅读",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
