action_id,class_id,action_type,action_detail_1,action_detail_2,action_detail_3,action_value_1,action_value_2,action_value_3,action_value_4,action_value_5,action_value_6,action_value_7,target_assignment,target_area,target_range,target_type,target_number,target_count,description,level_up_disp
100100101,1,1,1,0,0,30.0,30.0,2.4,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","单体物理伤害+{0}"
100100102,1,3,3,0,0,50.0,0.0,500.0,0.0,0.0,0.0,0.0,1,1,-1,3,0,99,"",""
100100103,1,1,1,0,0,13.5,13.5,1.08,0.0,0.0,0.0,0.0,1,2,400,3,0,99,"对范围内的敌人造成{0}的物理伤害","范围物理伤害+{0}"
100100201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
100100301,1,1,1,0,0,8.0,8.0,0.6,0.0,0.0,0.0,0.0,1,1,0,1,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
100100302,1,10,10,1,0,1.0,11.0,11.0,12.0,0.0,0.0,1.0,2,1,0,7,0,1,"自身的物理攻击力提升{0}","物理攻击力提升+{0}"
100101101,1,1,1,0,0,60.0,60.0,4.8,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}物理伤害","单体物理伤害＋{0}"
100101102,1,1,1,0,0,45.0,45.0,3.6,0.0,0.0,0.0,0.0,1,2,600,3,0,99,"对范围内敌人造成{0}物理伤害","范围物理伤害＋{0}"
100101201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","单体物理伤害+{0}"
100101202,1,1,1,0,0,9.0,9.0,0.72,0.0,0.0,0.0,0.0,1,2,400,3,0,99,"对范围内的敌人造成{0}的物理伤害","范围物理伤害+{0}"
100150101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
100151101,1,90,2,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
100200101,1,4,2,0,0,1.0,6.0,6.0,0.45,0.0,0.0,0.0,2,3,2160,3,0,99,"己方全体的生命值回复{0}","生命值回复量+{0}"
100200201,1,1,2,0,0,15.0,15.0,1.2,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
100200301,1,10,20,1,0,1.0,0.23,0.23,12.0,0.0,0.0,1.0,2,3,2160,3,0,99,"己方全体的物理防御力提升{0}","物理防御力提升+{0}"
100201101,1,4,2,0,0,1.0,8.0,8.0,0.6,0.0,0.0,0.0,2,3,2160,3,0,99,"我方全体的生命值回复{0}","生命值回复量+{0}"
100201102,1,10,20,1,0,1.0,1.2,1.2,18.0,0.0,0.0,1.0,2,3,2160,3,0,99,"我方全体的物理防御力提升{0}","物理防御力提升+{0}"
