drama_id,condition_total_eat,condition_chara_type,condition_time,condition_psy_product_1,condition_psy_product_2,condition_psy_product_3,condition_psy_product_4,condition_psy_product_5,release_psy_product_id_1,release_psy_product_id_2,release_psy_product_id_3,release_psy_product_id_4,release_psy_product_id_5,title
1,0,0,0,0,0,0,0,0,0,0,0,0,0,"ミヤコ’s キッチン"
2,48,0,0,0,0,0,0,0,102,0,0,0,0,"プリンにしてやるの"
3,96,0,0,0,0,0,0,0,152,0,0,0,0,"幽霊よりも怖いもの？"
4,144,0,0,0,0,0,0,0,142,0,0,0,0,"宴はプリン作りとともに"
5,168,0,0,0,0,0,0,0,127,0,0,0,0,"愛はプリンのために"
6,192,0,0,0,0,0,0,0,107,0,0,0,0,"ちょびっと成長？"
7,240,0,0,0,0,0,0,0,0,0,0,0,0,"キュッキュ～！"
8,0,20,0,0,0,0,0,0,153,154,155,0,0,"３人のかわいい手下"
9,0,40,0,0,0,0,0,0,150,157,0,0,0,"変な趣味なの"
10,0,50,0,0,0,0,0,0,125,161,0,0,0,"入れるな危険なの"
11,0,60,0,0,0,0,0,0,116,135,0,0,0,"レシピなの？"
