id,gacha_id,introduction_number,start_time,end_time,maximum_chunk_size_1,maximum_chunk_size_loop_1,maximum_chunk_size_2,maximum_chunk_size_loop_2,maximum_chunk_size_3,maximum_chunk_size_loop_3
2,30002,1,"2020/04/23 13:00:00","2020/05/07 12:59:59",380000,380000,0,0,0,0
3,30003,1,"2020/05/07 13:00:00","2020/05/15 10:59:59",380000,380000,0,0,0,0
4,30004,1,"2020/05/15 11:00:00","2020/05/28 10:59:59",380000,380000,0,0,0,0
5,30005,1,"2020/05/28 11:00:00","2020/06/08 10:59:59",380000,380000,0,0,0,0
6,30006,1,"2020/06/08 11:00:00","2020/06/23 10:59:59",380000,380000,0,0,0,0
7,30007,1,"2020/06/23 11:00:00","2020/07/06 10:59:59",380000,380000,0,0,0,0
8,30008,1,"2020/07/06 11:00:00","2020/07/20 10:59:59",380000,380000,0,0,0,0
9,30009,1,"2020/07/20 11:00:00","2020/08/03 10:59:59",380000,380000,0,0,0,0
10,30010,1,"2020/08/03 11:00:00","2020/08/18 10:59:59",380000,380000,0,0,0,0
11,30011,1,"2020/08/18 11:00:00","2020/08/30 10:59:59",380000,380000,0,0,0,0
12,30012,1,"2020/08/30 11:00:00","2020/09/15 10:59:59",380000,380000,0,0,0,0
14,40001,1,"2020/09/15 11:00:00","2020/09/28 08:59:59",380000,380000,0,0,0,0
15,30014,1,"2020/09/28 09:00:00","2020/10/09 10:59:59",380000,380000,0,0,0,0
16,30015,1,"2020/10/09 11:00:00","2020/10/16 10:59:59",380000,380000,0,0,0,0
17,30801,1,"2020/10/16 11:00:00","2020/10/26 10:59:59",380000,380000,0,0,0,0
18,30016,1,"2020/10/26 11:00:00","2020/11/10 10:59:59",380000,380000,0,0,0,0
19,30017,1,"2020/11/10 11:00:00","2020/11/23 10:59:59",380000,380000,0,0,0,0
20,50018,2,"2020/11/23 11:00:00","2020/11/30 10:59:59",380000,0,380000,380000,0,0
21,30019,1,"2020/11/30 11:00:00","2020/12/10 08:59:59",380000,380000,0,0,0,0
22,30020,1,"2020/12/10 09:00:00","2020/12/20 10:59:59",380000,380000,0,0,0,0
23,30021,1,"2020/12/20 11:00:00","2020/12/30 10:59:59",380000,380000,0,0,0,0
24,30802,1,"2020/12/30 11:00:00","2021/01/08 10:59:59",380000,380000,0,0,0,0
25,30022,1,"2021/01/08 11:00:00","2021/01/18 08:59:59",380000,380000,0,0,0,0
26,50023,2,"2021/01/18 09:00:00","2021/01/22 10:59:59",380000,0,380000,380000,0,0
27,30025,1,"2021/02/01 11:00:00","2021/02/14 10:59:59",380000,380000,0,0,0,0
28,30026,1,"2021/02/14 11:00:00","2021/03/01 10:59:59",380000,380000,0,0,0,0
29,50027,2,"2021/03/01 11:00:00","2021/03/15 10:59:59",380000,0,380000,380000,0,0
30,30028,1,"2021/03/15 11:00:00","2021/03/30 10:59:59",380000,380000,0,0,0,0
31,30029,1,"2021/03/30 11:00:00","2021/04/12 10:59:59",380000,380000,0,0,0,0
38,30037,1,"2021/04/17 09:00:00","2021/05/01 10:59:59",380000,380000,0,0,0,0
40,30039,1,"2021/05/01 11:00:00","2021/05/15 08:59:59",380000,380000,0,0,0,0
